Sequence,Country Code,Geographic Area,Reference Date,Population Subgroup,Subpop Code,Sex,Age,Source ID,Comments,Data Type,Country,Site Name,Author,Year,Title,Publication Information,Virus Type,NO_CASES,NO_DEATHS,PREV_RATE,INC_RATE,Specimen Type,Test Type,SAMPSIZE
34,WZ,Lubombo region,1992,STI pts.,S,M,ALL,D0117,"1st HIV sentinel surveillance.  Sentinel sites: Ubombo Ranches Hospital, Mhlume, Vuvulane, & Ebholi clinics.  June - Aug. 92.",P,Swaziland,Four sites,"Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,14,-1,12.07,N/A,BW,UNK,116
164,WZ,National,1990,Blood donors,B,B,ALL,D0117,Only the prevalence rate was given.  1st HIV sentinel surveillance.,P,Swaziland,National,"Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,-1,-1,2.6,N/A,BW,UNK,N/A
78,WZ,Shiselweni region,1992,STI pts.,S,F,ALL,D0117,1st HIV sentinel surveillance.  Sentinel site: Nhlangano Health Centre.  Included 3 children age range 10-14/ 2 HIV+.  Oct. - Nov. 92.,P,Swaziland,Nhlangano Health Centre,"Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,13,-1,6.19,N/A,BW,UNK,210
140,WZ,National,1992,STI pts.,S,F,ALL,D0117,1st HIV sentinel surveillance.  Total of all four regions.  Attending a STI clinic.  Included 7 children age range 10-14/ 2 HIV+.  June - Nov. 92.,P,Swaziland,National,"Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,82,-1,9.86,N/A,B,UNK,832
168,WZ,National,1992,TB pts.,U,F,ALL,D0117,1st HIV sentinel surveillance.  Total of all four regions.  June - Nov. 92.,P,Swaziland,National,"Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,5,-1,20.82,N/A,B,UNK,24
2,WZ,Hhohho region,1992,STI pts.,S,M,ALL,D0117,1st HIV sentinel surveillance.  Sentinel site: Mbabane Government Hospital STI Clinic.  June - Aug. 92.,P,Swaziland,Mbabane Government Hospital STI Clinic,"Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,19,-1,10.05,N/A,BW,UNK,189
62,WZ,Lubombo region,1992,Pregnant women,G,F,ALL,D0117,"1st HIV sentinel surveillance.  Sentinel sites: Ubombo Ranches Hospital, Mhlume, Vuvulane, & Ebholi clinics.  June - Aug. 92.",P,Swaziland,Four sites,"Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,2,-1,2.04,N/A,BW,UNK,98
80,WZ,Manzini region,1992,STI pts.,S,B,ALL,D0117,1st HIV sentinel surveillance.  Sentinel sites: St. Theresa & FLAS clinics.  271 males & 339 females.  Oct. - Nov. 92.,P,Swaziland,"St. Theresa, FLAS clinics","Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,86,-1,14.1,N/A,BW,UNK,610
124,WZ,Manzini region,1992,Pregnant women,G,F,ALL,D0117,1st HIV sentinel surveillance.  Sentinel site: St. Theresa Clinic.  Oct. - Nov. 92.,P,Swaziland,St. Theresa Clinic,"Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,7,-1,4.09,N/A,BW,UNK,171
155,WZ,National,1992,Pregnant women,G,F,ALL,D0117,1st HIV sentinel surveillance.  Total of all four regions.  Distribution by age & region is provided.  June - Nov. 92.,P,Swaziland,National,"Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,28,-1,3.91,N/A,B,UNK,716
166,WZ,National,1992,Blood donors,B,B,ALL,D0117,Only the prevalence rate was given.  1st HIV sentinel surveillance.,P,Swaziland,National,"Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,-1,-1,8.9,N/A,BW,UNK,N/A
18,WZ,Lubombo region,1992,STI pts.,S,B,ALL,D0117,"1st HIV sentinel surveillance.  Sentinel sites: Ubombo Ranches Hospital, Mhlume, Vuvulane, & Ebholi clinics.  116 males & 69 females.  June - Aug. 92.",P,Swaziland,Four sites,"Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,15,-1,8.11,N/A,BW,UNK,185
49,WZ,Hhohho region,1992,Pregnant women,G,F,ALL,D0117,1st HIV sentinel surveillance.  Sentinel site: Mbabane Public Health ANC Clinic.  June - Aug. 92.,P,Swaziland,Mbabane Public Health ANC Clinic,"Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,12,-1,4.3,N/A,BW,UNK,279
63,WZ,Shiselweni region,1992,STI pts.,S,B,ALL,D0117,1st HIV sentinel surveillance.  Sentinel site: Nhlangano Health Centre.  81 males & 210 females.  Oct. - Nov. 92.,P,Swaziland,Nhlangano Health Centre,"Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,21,-1,7.22,N/A,BW,UNK,291
79,WZ,Shiselweni region,1992,STI pts.,S,M,ALL,D0117,Sentinel site: Nhlangano Health Centre.  Oct. - Nov. 92.,P,Swaziland,Nhlangano Health Centre,"Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,8,-1,9.88,N/A,BW,UNK,81
95,WZ,Manzini region,1992,STI pts.,S,M,ALL,D0117,1st HIV sentinel surveillance.  Sentinel sites: St. Theresa & FLAS clinics.  Oct. - Nov. 92.,P,Swaziland,"St. Theresa, FLAS clinics","Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,42,-1,15.5,N/A,BW,UNK,271
111,WZ,Shiselweni region,1992,Pregnant women,G,F,ALL,D0117,1st HIV sentinel surveillance.  Sentinel site: Nhlangano Health Centre.  Oct. - Nov. 92.,P,Swaziland,Nhlangano Health Centre,"Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,7,-1,4.17,N/A,BW,UNK,168
125,WZ,National,1992,STI pts.,S,B,ALL,D0117,"1st HIV sentinel surveillance.  Total of all four regions.  Distribution by age, region, & sex is provided.  Attending a STI clinic.  657 males & 832 females.  June - Nov. 92.",P,Swaziland,National,"Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,165,-1,11.08,N/A,B,UNK,1489
141,WZ,National,1992,STI pts.,S,M,ALL,D0117,1st HIV sentinel surveillance.  Total of all four regions.  Attending a STI clinic.  June - Nov. 92.,P,Swaziland,National,"Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,83,-1,12.63,N/A,B,UNK,657
156,WZ,National,1992,TB pts.,U,B,ALL,D0117,1st HIV sentinel surveillance.  Total of all four regions.  48 males & 24 females.  June - Nov. 92.,P,Swaziland,National,"Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,14,-1,19.44,N/A,B,UNK,72
165,WZ,National,1991,Blood donors,B,B,ALL,D0117,Only the prevalence rate was given.  1st HIV sentinel surveillance.,P,Swaziland,National,"Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,-1,-1,5.3,N/A,BW,UNK,N/A
167,WZ,National,1992,TB pts.,U,M,ALL,D0117,1st HIV sentinel surveillance.  Total of all four regions.  June - Nov. 92.,P,Swaziland,National,"Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,9,-1,18.75,N/A,B,UNK,48
1,WZ,Hhohho region,1992,STI pts.,S,B,ALL,D0117,1st HIV sentinel surveillance.  Sentinel site: Mbabane Government Hospital STI Clinic.  189 males & 214 females.  June - Aug. 92.,P,Swaziland,Mbabane Government Hospital STI Clinic,"Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,43,-1,10.67,N/A,BW,UNK,403
17,WZ,Hhohho region,1992,STI pts.,S,F,ALL,D0117,"1st HIV sentinel surveillance.  Sentinel site: Mbabane Government Hospital STI Clinic.  Included 2 children, age range 10-14/ none positive.  June - Aug. 92.",P,Swaziland,Mbabane Government Hospital STI Clinic,"Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,24,-1,11.21,N/A,BW,UNK,214
33,WZ,Lubombo region,1992,STI pts.,S,F,ALL,D0117,"1st HIV sentinel surveillance.  Sentinel sites: Ubombo Ranches Hospital, Mhlume, Vuvulane, & Ebholi clinics.  June - Aug. 92.",P,Swaziland,Four sites,"Dlamini-Kapenda, W.",1993,"First HIV Sentinel Surveillance in Swaziland, 1992","February, report.",HIV,1,-1,1.45,N/A,BW,UNK,69
1,WZ,National,1988,Blood donors,B,B,ALL,U0020,Only the prevalence rate was given.  National AIDS Program survveillance data.,P,Swaziland,National,U.S. Department of State,1993,AIDS Update in Swaziland,"Unclassified Cable, December, Mbabane 07211.",HIV,-1,-1,0.73,N/A,BW,UNK,N/A
1,WZ,Four regions,1991-1992,Suspected AIDS pts.,O,B,ALL,F0260,Four regional hospitals.  Included children.  Feb. 91 - July 92.,P,Swaziland,Four regions,"Ford, H., J. Wright",1994,Bacterial Meningitis in Swaziland: An 18 Month Prospective Study of its Impact,"Journal of Epidemiology and Community Health, vol. 48, no. 3, pp. 276-280.",HIV,9,-1,75,N/A,B,"ELISA, WB",12
55,WZ,National,1994,Prostitutes,P,F,ALL,S0395,3rd HIV Sentinel Surveillance.  Total of all 4 regions.  Breakdown by age is given in text.  June - July 94.,P,Swaziland,National,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,37.5,N/A,BW,ELISA*2,16
180,WZ,Manzini region,1994,Military STI pts.,S,M,ALL,S0395,3rd HIV Sentinel Surveillance.  Members of Umbutfo Swaziland Defence Force at the Phoeweni Clinic.  Located in Manzini region.  Breakdown by age is provided.  June - July 94.,P,Swaziland,Lubombo region,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,41.76,N/A,BW,ELISA*2,182
19,WZ,Lubombo region,1994,Pregnant women,G,F,ALL,S0395,"3rd HIV Sentinel Surveillance.  5 urban sites: Ubombo Ranches Hospital, Mananga Medical Center, & Vuvulane, Bholi, & Siphofaneni Clinics.  Breakdown by age is provided.  June - July 94.",P,Swaziland,Lubombo region,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,16.74,N/A,BW,ELISA*2,729
82,WZ,Hhohho region,1994,STI pts.,S,M,ALL,S0395,"3rd HIV Sentinel Surveillance.  3 urban & 1 rural sites: Mbabane Government Hospital  Out-pts. Depart., Mbabane Public Health Unit, & Dvokolwako Health Center, & Emkhuzweni Rural Health Center.  Breakdown by age is provided.  June - July 94.",P,Swaziland,Hhohho region,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,26,N/A,BW,ELISA*2,150
149,WZ,Shiselweni region,1994,STI pts.,S,B,ALL,S0395,3rd HIV Sentinel Surveillance.  2 urban sites: Nhlangano Health Centre & Zombodze (Emuva) Clinic.  146 males & 175 females.  Breakdown by age is provided.  June - July 94.,P,Swaziland,Shiselweni region,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,24.61,N/A,BW,ELISA*2,321
210,WZ,National,1994,New TB pts.,U,M,ALL,S0395,3rd HIV Sentinel Surveillance.  Total of all 4 regions.  Breakdown by age is provided.  June - July 94.,P,Swaziland,Shiselweni region,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,27.94,N/A,BW,ELISA*2,68
1,WZ,National,1994,Pregnant women,G,F,ALL,S0395,3rd HIV Sentinel Surveillance.  Total of all 4 regions.  Breakdown by age is provided.  June - July 94.  A;sp. See N0395.,P,Swaziland,National,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,16.13,N/A,BW,ELISA*2,2343
45,WZ,Shiselweni region,1994,Pregnant women,G,F,ALL,S0395,3rd HIV Sentinel Surveillance.  2 urban sites: Nhlangano Health Centre & Zombodze (Emuva) Clinic.  Breakdown by age is provided.  June - July 94.,P,Swaziland,Shiselweni region,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,16.79,N/A,BW,ELISA*2,411
65,WZ,National,1994,STI pts.,S,M,ALL,S0395,3rd HIV Sentinel Surveillance.  Total of all 4 regions.  Attending a STI clinic.  Breakdown by age is provided.  June - July 94.,P,Swaziland,National,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,28.66,N/A,BW,ELISA*2,729
98,WZ,Shiselweni region,1994,STI pts.,S,M,ALL,S0395,3rd HIV Sentinel Surveillance.  2 urban sites: Nhlangano Health Centre & Zombodze (Emuva) Clinic.  Breakdown by age is provided.  June - July 94.,P,Swaziland,Shiselweni region,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,26.03,N/A,BW,ELISA*2,146
131,WZ,Lubombo region,1994,STI pts.,S,M,ALL,S0395,"3rd HIV Sentinel Surveillance.  5 urban sites: Ubombo Ranches Hospital, Mananga Medical Center, & Vuvulane, Bholi, & Siphofaneni Clinics.  Breakdown by age is provided.  June - July 94.",P,Swaziland,Hhohho region,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,28.68,N/A,BW,ELISA*2,265
166,WZ,Manzini region,1994,STI pts.,S,B,ALL,S0395,"3rd HIV Sentinel Surveillance.  4 urban sites: St. Theresa, FLAS, & Phoeweni Clinics, & TB Center.  168 males & 173 females.  Breakdown by age is provided.  June - July 94.",P,Swaziland,Manzini region,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,28.45,N/A,BW,ELISA*2,341
196,WZ,National,1994,New TB pts.,U,B,ALL,S0395,3rd HIV Sentinel Surveillance.  Total of all 4 regions.  68 males & 38 females.  Breakdown by age is provided.  June - July 94.,P,Swaziland,Hhohho region,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,31.13,N/A,BW,ELISA*2,106
18,WZ,National,1994,STI pts.,S,B,ALL,S0395,3rd HIV Sentinel Surveillance.  Total of all 4 regions.  Attending a STI clinic.  729 males & 726 females.  Breakdown by age is provided.  June - July 94.,P,Swaziland,National,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,26.73,N/A,BW,ELISA*2,1455
28,WZ,Hhohho region,1994,Pregnant women,G,F,ALL,S0395,"3rd HIV Sentinel Surveillance.  3 urban & 1 rural sites: Mbabane Government Hospital Out-pts. Depart., Mbabane Public Health Unit, & Dvokolwako Health Center, & Emkhuzweni Rural Health Center.  Breakdown by age is provided.  June - July 94.",P,Swaziland,Hhohho region,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,15.52,N/A,BW,ELISA*2,773
54,WZ,Manzini region,1994,Pregnant women,G,F,ALL,S0395,"3rd HIV Sentinel Surveillance.  4 urban sites: St. Theresa, FLAS, & Phoeweni Clinics, & TB Center.  Breakdown by age is provided.  June - July 94.",P,Swaziland,Manzini region,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,15.58,N/A,BW,ELISA*2,430
56,WZ,National,1994,STI pts.,S,F,ALL,S0395,3rd HIV Sentinel Surveillance.  Total of all 4 regions.  Attending a STI clinic.  Breakdown by age is provided.  June - July 94.,P,Swaziland,National,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,24.79,N/A,BW,ELISA*2,726
73,WZ,Hhohho region,1994,STI pts.,S,F,ALL,S0395,"3rd HIV Sentinel Surveillance.  3 urban & 1 rural sites: Mbabane Government Hospital Out-pts. Depart., Mbabane Public Health Unit, & Dvokolwako Health Center, & Emkhuzweni Rural Health Center.  Breakdown by age is provided.  June - July 94.",P,Swaziland,Lubombo region,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,20.56,N/A,BW,ELISA*2,214
90,WZ,Shiselweni region,1994,STI pts.,S,F,ALL,S0395,3rd HIV Sentinel Surveillance.  2 urban sites: Nhlangano Health Centre & Zombodze (Emuva) Clinic.  Breakdown by age is provided.  June - July 94.,P,Swaziland,Hhohho region,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,23.43,N/A,BW,ELISA*2,175
106,WZ,Manzini region,1994,STI pts.,S,F,ALL,S0395,"3rd HIV Sentinel Surveillance.  4 urban sites: St. Theresa, FLAS, & Phoeweni Clinics, & TB Center.  Breakdown by age is provided.  June - July 94.",P,Swaziland,Manzini region,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,23.7,N/A,BW,ELISA*2,173
122,WZ,Lubombo region,1994,STI pts.,S,F,ALL,S0395,"3rd HIV Sentinel Surveillance.  5 urban sites: Ubombo Ranches Hospital, Mananga Medical Center, & Vuvulane, Bholi, & Siphofaneni Clinics.  Breakdown by age is provided.  June - July 94.",P,Swaziland,National,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,32.93,N/A,BW,ELISA*2,164
140,WZ,Hhohho region,1994,STI pts.,S,B,ALL,S0395,"3rd HIV Sentinel Surveillance.  5 urban & 1 rural sites: Mbabane Government Hosp. Out-pts. Dept., Mbabane Public Hlth Unit, Dvokolwako Hlth Ctr., & Emkhuzweni Rural Hlth Ctr.  150 males & 214 females. Breakdown by age is provided.  June - July 94.",P,Swaziland,Hhohho region,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,22.8,N/A,BW,ELISA*2,364
157,WZ,Lubombo region,1994,STI pts.,S,B,ALL,S0395,"3rd HIV Sentinel Surveillance.  5 urban sites: Ubombo Ranches Hospital, Mananga Medical Center, & Vuvulane, Bholi, & Siphofaneni Clinics.  265 males & 164 females.  Breakdown by age is provided.  June - July 94.",P,Swaziland,Shiselweni region,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,30.3,N/A,BW,ELISA*2,429
175,WZ,Manzini region,1994,Military STI pts.,S,F,ALL,S0395,3rd HIV Sentinel Surveillance.  Members of Umbutfo Swaziland Defence Force at the Phoeweni Clinic.  Located in Manzini region.  Breakdown by age is provided.  June - July 94.,P,Swaziland,Manzini region,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,47.06,N/A,BW,ELISA*2,17
188,WZ,Manzini region,1994,Military STI pts.,S,B,ALL,S0395,3rd HIV Sentinel Surveillance.  Members of Umbutfo Swaziland Defence Force at the Phoeweni Clinic.  Located in Manzini region.  82 males & 17 females.  Breakdown by age is provided.  June - July 94.,P,Swaziland,Lubombo region,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,42.42,N/A,BW,ELISA*2,198
203,WZ,National,1994,New TB pts.,U,F,ALL,S0395,3rd HIV Sentinel Surveillance.  Total of all 4 regions.  Breakdown by age is provided.  June - July 94.,P,Swaziland,Hhohho region,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,36.79,N/A,BW,ELISA*2,38
114,WZ,Manzini region,1994,STI pts.,S,M,ALL,S0395,"3rd HIV Sentinel Surveillance.  4 urban sites: St. Theresa, FLAS, & Phoeweni Clinics, & TB Center.  Breakdown by age is provided.  June - July 94.",P,Swaziland,National,Swaziland Ministry of Health,1995,Third HIV Sentinel Surveillance Report - 1994,"Swaziland National AIDS/STDs Program, Ministry of Health, Mbabane, Swaziland, August, report.",HIV,0,-1,33.33,N/A,BW,ELISA*2,168
97,WZ,Shiselweni region,1996,STI pts.,S,B,UNK,S0412,5th HIV Sentinel Surveillance.  Attending a STI clinic.  24 June - 30 Aug. 96.,P,Swaziland,Shiselweni region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,0,-1,7.4,N/A,BW,ELISA,27
19,WZ,Manzini region,1996,Pregnant women,G,F,UNK,S0412,5th HIV Sentinel Surveillance.  1st time attending antenatal clinic.  24 June - 30 Aug. 96.,P,Swaziland,Manzini region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,1,-1,16.67,N/A,BW,ELISA,6
149,WZ,Lubombo region,1996,STI pts.,S,F,UNK,S0412,5th HIV Sentinel Surveillance.  Attending a STI clinic.  24 June - 30 Aug. 96.,P,Swaziland,Lubombo region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,0,-1,50,N/A,BW,ELISA,4
58,WZ,Manzini region,1996,STI pts.,S,B,UNK,S0412,5th HIV Sentinel Surveillance.  Attending a STI clinic.  24 June - 30 Aug. 96.,P,Swaziland,Manzini region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,0,-1,15.5,N/A,BW,ELISA,32
123,WZ,Shiselweni region,1996,STI pts.,S,F,ALL,S0412,5th HIV Sentinel Surveillance.  Attending a STI clinic.  Breakdown by age is provided.  24 June - 30 Aug. 96.,P,Swaziland,Shiselweni region,Swaziland Ministry of Health,1996,Fifth HIV Sentinel Surveillance -- Final Report,"Ministry of Health, Swaziland National AIDS/STDs Programme, report.",HIV,0,-1,30.4,N/A,BW,ELISA,280
